code;name;credits;prerequisites;corequisites;group_number;professor;day;start_hour;start_minute;end_hour;end_minute
MA1403;Matematica discreta;4;;;3;FALLAS MONGE JUAN JOSE;MAR;15;0;16;50
MA1403;Matematica discreta;4;;;3;FALLAS MONGE JUAN JOSE;JUE;15;0;16;50
MA1403;Matematica discreta;4;;;4;RAMIREZ ARCE GREIVIN;MAR;13;0;14;50
MA1403;Matematica discreta;4;;;4;RAMIREZ ARCE GREIVIN;JUE;13;0;14;50
MA1403;Matematica discreta;4;;;5;SOLIS ARGUEDAS ADRIANA;MIE;7;30;9;20
MA1403;Matematica discreta;4;;;5;SOLIS ARGUEDAS ADRIANA;VIE;7;30;9;20
MA1403;Matematica discreta;4;;;6;SOTO QUIROS JUAN PABLO;MAR;18;0;19;50
MA1403;Matematica discreta;4;;;6;SOTO QUIROS JUAN PABLO;JUE;18;0;19;50
MA1103;Calculo y algebra lineal;4;MA1102;;1;ACUÑA PRADO LUIS;MIE;7;30;9;20
MA1103;Calculo y algebra lineal;4;MA1102;;1;ACUÑA PRADO LUIS;VIE;7;30;9;20
MA1103;Calculo y algebra lineal;4;MA1102;;2;ALPIZAR BRENES GEISEL;MAR;18;0;19;50
MA1103;Calculo y algebra lineal;4;MA1102;;2;ALPIZAR BRENES GEISEL;JUE;18;0;19;50
MA1103;Calculo y algebra lineal;4;MA1102;;3;BRENES GOMEZ RANDALL;MAR;16;0;17;50
MA1103;Calculo y algebra lineal;4;MA1102;;3;BRENES GOMEZ RANDALL;JUE;16;0;17;50
MA1103;Calculo y algebra lineal;4;MA1102;;4;BRENES GOMEZ RANDALL;SAB;7;30;11;20
MA1103;Calculo y algebra lineal;4;MA1102;;5;CALDERON SOLANO MANUEL;MIE;15;0;16;50
MA1103;Calculo y algebra lineal;4;MA1102;;5;CALDERON SOLANO MANUEL;VIE;15;0;16;50
MA1103;Calculo y algebra lineal;4;MA1102;;6;CALDERON SOLANO MANUEL;MIE;17;0;18;50
MA1103;Calculo y algebra lineal;4;MA1102;;6;CALDERON SOLANO MANUEL;VIE;17;0;18;50
MA1103;Calculo y algebra lineal;4;MA1102;;7;CHAVARRIA MOLINA JEFFRY;MAR;7;30;9;20
MA1103;Calculo y algebra lineal;4;MA1102;;7;CHAVARRIA MOLINA JEFFRY;JUE;7;30;9;20
MA1103;Calculo y algebra lineal;4;MA1102;;8;CHAVARRIA MOLINA JEFFRY;MAR;13;0;14;50
MA1103;Calculo y algebra lineal;4;MA1102;;8;CHAVARRIA MOLINA JEFFRY;JUE;13;0;14;50
MA1103;Calculo y algebra lineal;4;MA1102;;9;CHINCHILLA VALVERDE JORGE LUIS;MAR;7;30;9;20
MA1103;Calculo y algebra lineal;4;MA1102;;9;CHINCHILLA VALVERDE JORGE LUIS;JUE;7;30;9;20
MA1103;Calculo y algebra lineal;4;MA1102;;10;CHINCHILLA VALVERDE JORGE LUIS;MAR;9;30;11;20
MA1103;Calculo y algebra lineal;4;MA1102;;10;CHINCHILLA VALVERDE JORGE LUIS;JUE;9;30;11;20
MA1103;Calculo y algebra lineal;4;MA1102;;11;FIGUEROA MATA GEOVANNI;MAR;15;0;16;50
MA1103;Calculo y algebra lineal;4;MA1102;;11;FIGUEROA MATA GEOVANNI;JUE;15;0;16;50
MA1103;Calculo y algebra lineal;4;MA1102;;12;FIGUEROA MATA GEOVANNI;MAR;18;0;19;50
MA1103;Calculo y algebra lineal;4;MA1102;;12;FIGUEROA MATA GEOVANNI;JUE;18;0;19;50
MA1103;Calculo y algebra lineal;4;MA1102;;13;FIGUEROA MATA GEOVANNI;MIE;13;0;14;50
MA1103;Calculo y algebra lineal;4;MA1102;;13;FIGUEROA MATA GEOVANNI;VIE;13;0;14;50
MA1103;Calculo y algebra lineal;4;MA1102;;14;GUTIERREZ MONTENEGRO MARCO VINICIO;MAR;17;0;18;50
MA1103;Calculo y algebra lineal;4;MA1102;;14;GUTIERREZ MONTENEGRO MARCO VINICIO;JUE;17;0;18;50
MA1103;Calculo y algebra lineal;4;MA1102;;15;GUTIERREZ MONTENEGRO MARCO VINICIO;MIE;9;30;11;20
MA1103;Calculo y algebra lineal;4;MA1102;;15;GUTIERREZ MONTENEGRO MARCO VINICIO;VIE;9;30;11;20
MA1103;Calculo y algebra lineal;4;MA1102;;16;JIMENEZ MADRIGAL JORGE;JUE;7;30;11;20
MA1103;Calculo y algebra lineal;4;MA1102;;17;JIMENEZ ROMERO ALEJANDRA;MAR;13;0;14;50
MA1103;Calculo y algebra lineal;4;MA1102;;17;JIMENEZ ROMERO ALEJANDRA;JUE;13;0;14;50
MA1103;Calculo y algebra lineal;4;MA1102;;18;MORA PICADO LUIS FERNANDO;MIE;18;0;19;50
MA1103;Calculo y algebra lineal;4;MA1102;;18;MORA PICADO LUIS FERNANDO;VIE;18;0;19;50
MA1103;Calculo y algebra lineal;4;MA1102;;19;PARRA RODRIGUEZ EMMANUELLE;MIE;16;0;17;50
MA1103;Calculo y algebra lineal;4;MA1102;;19;PARRA RODRIGUEZ EMMANUELLE;VIE;16;0;17;50
MA2104;Calculo superior;4;MA1103;;1;BORBON ALPIZAR ALEXANDER;MAR;18;0;19;50
MA2104;Calculo superior;4;MA1103;;1;BORBON ALPIZAR ALEXANDER;JUE;18;0;19;50
MA2104;Calculo superior;4;MA1103;;2;CHACON VARGAS ERICK;MAR;13;0;14;50
MA2104;Calculo superior;4;MA1103;;2;CHACON VARGAS ERICK;JUE;13;0;14;50
MA2104;Calculo superior;4;MA1103;;3;ESQUIVEL SAMUDIO JEISON;SAB;7;30;11;20
MA2104;Calculo superior;4;MA1103;;4;JIMENEZ ROMERO ALEJANDRA;MAR;9;30;11;20
MA2104;Calculo superior;4;MA1103;;4;JIMENEZ ROMERO ALEJANDRA;JUE;9;30;11;20
MA2104;Calculo superior;4;MA1103;;5;MONGE FALLAS JORGE;MIE;9;30;11;20
MA2104;Calculo superior;4;MA1103;;5;MONGE FALLAS JORGE;VIE;9;30;11;20
MA2104;Calculo superior;4;MA1103;;6;OVIEDO UGALDE NORBERTO;MIE;18;0;19;50
MA2104;Calculo superior;4;MA1103;;6;OVIEDO UGALDE NORBERTO;VIE;18;0;19;50
MA2104;Calculo superior;4;MA1103;;7;VALVERDE SANCHEZ SAMUEL;MIE;15;0;16;50
MA2104;Calculo superior;4;MA1103;;7;VALVERDE SANCHEZ SAMUEL;VIE;15;0;16;50
MA2105;Ecuaciones diferenciales;4;MA1103;;1;ACUÑA PRADO LUIS;SAB;7;30;11;20
MA2105;Ecuaciones diferenciales;4;MA1103;;2;ALPIZAR BRENES GEISEL;MAR;7;30;9;20
MA2105;Ecuaciones diferenciales;4;MA1103;;2;ALPIZAR BRENES GEISEL;JUE;7;30;9;20
MA2105;Ecuaciones diferenciales;4;MA1103;;3;BRENES GOMEZ RANDALL;MAR;9;30;11;20
